TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-01,2026-01-01,FO,NSE,IDO,53151,,BANKNIFTY,,2026-01-27,2026-01-27,63300.00,PE,BANKNIFTY26JAN63300PE,3380.00,3380.00,3380.00,3380.00,3380.00,3920.00,59711.55,3396.70,0,-30,1,2000400.00,1,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,51810,,BANKNIFTY,,2026-01-27,2026-01-27,58500.00,CE,BANKNIFTY26JAN58500CE,1606.25,1638.00,1500.00,1607.05,1613.00,1562.80,59711.55,1607.05,86190,7620,1330,2397489123.00,755,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,50860,,BANKNIFTY,,2026-01-27,2026-01-27,53000.00,CE,BANKNIFTY26JAN53000CE,6880.00,6880.00,6873.20,6880.00,6880.00,6850.80,59711.55,6918.90,31590,0,12,21555834.00,12,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,50874,,BANKNIFTY,,2026-01-27,2026-01-27,53200.00,CE,BANKNIFTY26JAN53200CE,0.00,0.00,0.00,6062.05,0.00,6062.05,59711.55,6719.75,0,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,50880,,BANKNIFTY,,2026-01-27,2026-01-27,53500.00,CE,BANKNIFTY26JAN53500CE,0.00,0.00,0.00,5780.00,5780.00,5780.00,59711.55,6421.05,690,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,51227,,BANKNIFTY,,2026-01-27,2026-01-27,54700.00,CE,BANKNIFTY26JAN54700CE,0.00,0.00,0.00,5057.70,5057.70,5057.70,59711.55,5228.25,30,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,51261,,BANKNIFTY,,2026-01-27,2026-01-27,55200.00,CE,BANKNIFTY26JAN55200CE,0.00,0.00,0.00,4546.50,4546.50,4546.50,59711.55,4733.65,90,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,51327,,BANKNIFTY,,2026-01-27,2026-01-27,55400.00,CE,BANKNIFTY26JAN55400CE,4600.00,4600.00,4600.00,4600.00,4600.00,4486.80,59711.55,4536.70,330,0,1,1800000.00,1,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,51780,,BANKNIFTY,,2026-01-27,2026-01-27,57100.00,CE,BANKNIFTY26JAN57100CE,0.00,0.00,0.00,2478.55,2478.55,2478.55,59711.55,2911.75,150,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,51782,,BANKNIFTY,,2026-01-27,2026-01-27,57200.00,CE,BANKNIFTY26JAN57200CE,0.00,0.00,0.00,2203.70,2203.70,2203.70,59711.55,2821.05,300,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,52701,,BANKNIFTY,,2026-03-30,2026-03-30,64600.00,PE,BANKNIFTY26MAR64600PE,0.00,0.00,0.00,4926.80,0.00,4926.80,59711.55,4359.70,0,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,52635,,BANKNIFTY,,2026-03-30,2026-03-30,62200.00,PE,BANKNIFTY26MAR62200PE,0.00,0.00,0.00,3116.15,0.00,3116.15,59711.55,2532.00,0,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,58657,,BANKNIFTY,,2026-03-30,2026-03-30,61500.00,PE,BANKNIFTY26MAR61500PE,1670.00,1670.25,1625.25,1635.05,1635.05,1687.20,59711.55,2086.50,15005,1450,120,227305315.50,35,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,52583,,BANKNIFTY,,2026-03-30,2026-03-30,60100.00,PE,BANKNIFTY26MAR60100PE,0.00,0.00,0.00,1864.45,0.00,1864.45,59711.55,1337.50,0,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,52473,,BANKNIFTY,,2026-03-30,2026-03-30,55900.00,PE,BANKNIFTY26MAR55900PE,0.00,0.00,0.00,433.90,0.00,433.90,59711.55,195.70,0,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,52436,,BANKNIFTY,,2026-03-30,2026-03-30,54200.00,PE,BANKNIFTY26MAR54200PE,0.00,0.00,0.00,194.95,0.00,194.95,59711.55,65.40,0,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,52528,,BANKNIFTY,,2026-03-30,2026-03-30,58000.00,CE,BANKNIFTY26MAR58000CE,2995.00,2995.00,2995.00,2995.00,2995.00,3055.55,59711.55,2995.00,210,30,1,1829850.00,1,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,52474,,BANKNIFTY,,2026-03-30,2026-03-30,56000.00,CE,BANKNIFTY26MAR56000CE,0.00,0.00,0.00,4453.30,0.00,4453.30,59711.55,4656.60,0,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,58548,,BANKNIFTY,,2026-03-30,2026-03-30,55500.00,CE,BANKNIFTY26MAR55500CE,5100.00,5160.00,5100.00,5160.00,5160.00,4825.00,59711.55,5096.70,305,60,2,3637800.00,2,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,52456,,BANKNIFTY,,2026-03-30,2026-03-30,55000.00,CE,BANKNIFTY26MAR55000CE,0.00,0.00,0.00,5274.70,0.00,5274.70,59711.55,5548.55,0,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,52444,,BANKNIFTY,,2026-03-30,2026-03-30,54400.00,CE,BANKNIFTY26MAR54400CE,0.00,0.00,0.00,5792.55,0.00,5792.55,59711.55,6103.40,0,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,52437,,BANKNIFTY,,2026-03-30,2026-03-30,54300.00,CE,BANKNIFTY26MAR54300CE,0.00,0.00,0.00,5880.40,0.00,5880.40,59711.55,6197.00,0,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,52415,,BANKNIFTY,,2026-03-30,2026-03-30,53500.00,PE,BANKNIFTY26MAR53500PE,0.00,0.00,0.00,134.40,0.00,134.40,59711.55,39.10,0,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,58513,,BANKNIFTY,,2026-03-30,2026-03-30,46500.00,PE,BANKNIFTY26MAR46500PE,0.00,0.00,0.00,901.50,0.00,901.50,59711.55,0.05,0,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,60522,,BANKNIFTY,,2026-02-24,2026-02-24,66000.00,PE,BANKNIFTY26FEB66000PE,0.00,0.00,0.00,6458.55,0.00,6458.55,59711.55,5796.30,0,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,60425,,BANKNIFTY,,2026-02-24,2026-02-24,64200.00,PE,BANKNIFTY26FEB64200PE,0.00,0.00,0.00,4930.90,0.00,4930.90,59711.55,4118.05,0,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,60413,,BANKNIFTY,,2026-02-24,2026-02-24,63600.00,PE,BANKNIFTY26FEB63600PE,0.00,0.00,0.00,3330.00,3330.00,3330.00,59711.55,3590.90,90,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,60272,,BANKNIFTY,,2026-02-24,2026-02-24,61100.00,PE,BANKNIFTY26FEB61100PE,0.00,0.00,0.00,2698.80,0.00,2698.80,59711.55,1710.80,0,0,0,0.00,0,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,60269,,BANKNIFTY,,2026-02-24,2026-02-24,61000.00,PE,BANKNIFTY26FEB61000PE,1400.95,1432.00,1345.00,1363.70,1363.00,1400.95,59711.55,1363.70,14520,5580,518,969237667.50,400,F1,30,,,,,
2026-01-01,2026-01-01,FO,NSE,IDO,60252,,BANKNIFTY,,2026-02-24,2026-02-24,60400.00,PE,BANKNIFTY26FEB60400PE,0.00,0.00,0.00,2286.15,0.00,2286.15,59711.55,1307.30,0,0,0,0.00,0,F1,30,,,,,
