TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-18,2026-09-18,FO,NSE,STO,78506,,ABCAPITAL,,2026-09-29,2026-09-29,480.00,PE,ABCAPITAL26SEP480PE,0.00,0.00,0.00,64.00,64.00,64.00,410.04,69.24,6200,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,66938,,ABCAPITAL,,2026-10-27,2026-10-27,365.00,PE,ABCAPITAL26OCT365PE,0.00,0.00,0.00,8.20,0.00,8.20,410.04,4.74,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67129,,ABCAPITAL,,2026-10-27,2026-10-27,425.00,PE,ABCAPITAL26OCT425PE,0.00,0.00,0.00,32.85,0.00,32.85,410.04,28.35,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67138,,ABCAPITAL,,2026-10-27,2026-10-27,465.00,CE,ABCAPITAL26OCT465CE,0.00,0.00,0.00,10.80,0.00,10.80,410.04,5.67,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67194,,ABCAPITAL,,2026-11-23,2026-11-23,410.00,CE,ABCAPITAL26NOV410CE,0.00,0.00,0.00,36.05,0.00,36.05,410.04,30.15,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,78357,,ABCAPITAL,,2026-09-29,2026-09-29,320.00,PE,ABCAPITAL26SEP320PE,0.80,0.80,0.80,0.80,0.80,5.35,410.04,0.00,3100,3100,1,994480.00,1,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,52969,,ABCAPITAL,,2026-09-29,2026-09-29,405.00,PE,ABCAPITAL26SEP405PE,12.50,12.50,6.20,6.85,6.20,16.30,410.04,6.85,465000,213900,569,728165510.00,484,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,53044,,ABCAPITAL,,2026-10-27,2026-10-27,410.00,PE,ABCAPITAL26OCT410PE,15.65,16.25,14.00,14.00,14.00,23.45,410.04,14.00,31000,18600,9,11860445.00,9,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67175,,ABCAPITAL,,2026-11-23,2026-11-23,340.00,PE,ABCAPITAL26NOV340PE,0.00,0.00,0.00,5.95,0.00,5.95,410.04,3.83,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67187,,ABCAPITAL,,2026-11-23,2026-11-23,370.00,PE,ABCAPITAL26NOV370PE,0.00,0.00,0.00,13.10,0.00,13.10,410.04,9.96,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,66936,,ABCAPITAL,,2026-10-27,2026-10-27,355.00,PE,ABCAPITAL26OCT355PE,0.00,0.00,0.00,6.00,0.00,6.00,410.04,3.11,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,53019,,ABCAPITAL,,2026-10-27,2026-10-27,320.00,PE,ABCAPITAL26OCT320PE,0.00,0.00,0.00,5.30,0.00,5.30,410.04,0.47,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,52986,,ABCAPITAL,,2026-09-29,2026-09-29,465.00,PE,ABCAPITAL26SEP465PE,0.00,0.00,0.00,75.35,0.00,75.35,410.04,54.59,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,52984,,ABCAPITAL,,2026-09-29,2026-09-29,455.00,PE,ABCAPITAL26SEP455PE,0.00,0.00,0.00,67.10,0.00,67.10,410.04,45.10,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,78473,,ABCAPITAL,,2026-09-29,2026-09-29,450.00,PE,ABCAPITAL26SEP450PE,51.50,51.50,51.50,51.50,51.50,40.20,410.04,40.50,43400,6200,2,3109300.00,1,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,78465,,ABCAPITAL,,2026-09-29,2026-09-29,410.00,PE,ABCAPITAL26SEP410PE,13.80,13.80,9.10,9.80,9.75,20.10,410.04,9.80,796700,65100,244,318088365.00,223,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,78393,,ABCAPITAL,,2026-09-29,2026-09-29,350.00,CE,ABCAPITAL26SEP350CE,46.20,46.20,46.20,46.20,46.20,32.80,410.04,60.76,27900,-3100,1,1228220.00,1,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,78395,,ABCAPITAL,,2026-09-29,2026-09-29,360.00,CE,ABCAPITAL26SEP360CE,0.00,0.00,0.00,30.15,30.15,30.15,410.04,50.98,24800,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,78466,,ABCAPITAL,,2026-09-29,2026-09-29,420.00,CE,ABCAPITAL26SEP420CE,0.60,1.70,0.60,1.50,1.55,0.60,410.04,1.50,1794900,313100,935,1221275535.00,628,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,66935,,ABCAPITAL,,2026-10-27,2026-10-27,355.00,CE,ABCAPITAL26OCT355CE,0.00,0.00,0.00,65.55,0.00,65.55,410.04,60.54,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,78494,,ABCAPITAL,,2026-09-29,2026-09-29,470.00,PE,ABCAPITAL26SEP470PE,0.00,0.00,0.00,81.20,0.00,81.20,410.04,59.43,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,78467,,ABCAPITAL,,2026-09-29,2026-09-29,420.00,PE,ABCAPITAL26SEP420PE,24.15,24.35,16.75,18.15,18.15,29.80,410.04,16.71,496000,-24800,52,70892040.00,51,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,52990,,ABCAPITAL,,2026-09-29,2026-09-29,485.00,PE,ABCAPITAL26SEP485PE,85.55,85.55,81.60,81.60,81.60,76.00,410.04,74.18,15500,6200,4,7050330.00,2,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67188,,ABCAPITAL,,2026-11-23,2026-11-23,380.00,CE,ABCAPITAL26NOV380CE,0.00,0.00,0.00,52.85,0.00,52.85,410.04,47.33,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67137,,ABCAPITAL,,2026-10-27,2026-10-27,455.00,PE,ABCAPITAL26OCT455PE,0.00,0.00,0.00,52.60,0.00,52.60,410.04,49.42,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67131,,ABCAPITAL,,2026-10-27,2026-10-27,435.00,PE,ABCAPITAL26OCT435PE,39.30,39.30,39.30,39.30,39.30,38.95,410.04,34.77,3100,3100,1,1470330.00,1,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,78356,,ABCAPITAL,,2026-09-29,2026-09-29,320.00,CE,ABCAPITAL26SEP320CE,0.00,0.00,0.00,82.20,0.00,82.20,410.04,90.61,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,52958,,ABCAPITAL,,2026-09-29,2026-09-29,385.00,CE,ABCAPITAL26SEP385CE,11.35,21.00,11.35,19.65,19.45,10.10,410.04,19.65,232500,-130200,319,395408720.00,276,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,52966,,ABCAPITAL,,2026-09-29,2026-09-29,395.00,CE,ABCAPITAL26SEP395CE,5.45,12.65,5.45,11.65,11.75,4.80,410.04,11.65,527000,-179800,921,1152953240.00,861,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,52989,,ABCAPITAL,,2026-09-29,2026-09-29,485.00,CE,ABCAPITAL26SEP485CE,0.10,0.10,0.05,0.05,0.05,0.05,410.04,0.09,62000,0,3,4511275.00,2,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,53035,,ABCAPITAL,,2026-10-27,2026-10-27,370.00,CE,ABCAPITAL26OCT370CE,0.00,0.00,0.00,46.00,0.00,46.00,410.04,48.30,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,52951,,ABCAPITAL,,2026-09-29,2026-09-29,345.00,PE,ABCAPITAL26SEP345PE,0.15,0.15,0.15,0.15,0.15,0.45,410.04,0.05,9300,-3100,2,2139930.00,2,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,78396,,ABCAPITAL,,2026-09-29,2026-09-29,360.00,PE,ABCAPITAL26SEP360PE,0.40,0.40,0.20,0.25,0.20,0.55,410.04,0.25,387500,-96100,176,196542325.00,96,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,78492,,ABCAPITAL,,2026-09-29,2026-09-29,460.00,PE,ABCAPITAL26SEP460PE,0.00,0.00,0.00,73.30,0.00,73.30,410.04,49.81,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,66962,,ABCAPITAL,,2026-10-27,2026-10-27,385.00,PE,ABCAPITAL26OCT385PE,0.00,0.00,0.00,9.35,9.35,9.35,410.04,9.77,12400,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,66980,,ABCAPITAL,,2026-10-27,2026-10-27,395.00,PE,ABCAPITAL26OCT395PE,8.50,8.50,7.50,7.50,7.50,17.95,410.04,7.50,3100,3100,2,2498600.00,2,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,52956,,ABCAPITAL,,2026-09-29,2026-09-29,375.00,CE,ABCAPITAL26SEP375CE,24.10,30.50,24.10,28.95,28.95,17.65,410.04,28.95,46500,-34100,26,32394845.00,24,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,53055,,ABCAPITAL,,2026-10-27,2026-10-27,460.00,CE,ABCAPITAL26OCT460CE,0.00,0.00,0.00,1.85,1.85,1.85,410.04,6.54,6200,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67174,,ABCAPITAL,,2026-11-23,2026-11-23,340.00,CE,ABCAPITAL26NOV340CE,0.00,0.00,0.00,81.85,0.00,81.85,410.04,77.73,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67190,,ABCAPITAL,,2026-11-23,2026-11-23,390.00,CE,ABCAPITAL26NOV390CE,0.00,0.00,0.00,46.75,0.00,46.75,410.04,41.03,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67226,,ABCAPITAL,,2026-11-23,2026-11-23,450.00,CE,ABCAPITAL26NOV450CE,0.00,0.00,0.00,20.20,0.00,20.20,410.04,14.90,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,78394,,ABCAPITAL,,2026-09-29,2026-09-29,350.00,PE,ABCAPITAL26SEP350PE,0.25,0.30,0.10,0.10,0.10,0.30,410.04,0.10,229400,-80600,76,82503865.00,47,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,78458,,ABCAPITAL,,2026-09-29,2026-09-29,380.00,PE,ABCAPITAL26SEP380PE,2.15,2.15,0.65,0.75,0.65,2.75,410.04,0.75,948600,-3100,1079,1274923515.00,709,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67196,,ABCAPITAL,,2026-11-23,2026-11-23,410.00,PE,ABCAPITAL26NOV410PE,0.00,0.00,0.00,29.10,0.00,29.10,410.04,25.45,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67200,,ABCAPITAL,,2026-11-23,2026-11-23,430.00,PE,ABCAPITAL26NOV430PE,0.00,0.00,0.00,40.00,0.00,40.00,410.04,36.58,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,78468,,ABCAPITAL,,2026-09-29,2026-09-29,430.00,CE,ABCAPITAL26SEP430CE,0.35,0.70,0.30,0.60,0.60,0.35,410.04,0.60,731600,136400,174,232230765.00,147,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,52987,,ABCAPITAL,,2026-09-29,2026-09-29,475.00,CE,ABCAPITAL26SEP475CE,0.00,0.00,0.00,1.05,1.05,1.05,410.04,0.21,3100,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67130,,ABCAPITAL,,2026-10-27,2026-10-27,435.00,CE,ABCAPITAL26OCT435CE,0.00,0.00,0.00,19.35,0.00,19.35,410.04,12.74,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,52965,,ABCAPITAL,,2026-09-29,2026-09-29,385.00,PE,ABCAPITAL26SEP385PE,2.60,3.25,1.10,1.20,1.10,4.20,410.04,1.20,2917100,111600,1834,2198736535.00,1196,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,78493,,ABCAPITAL,,2026-09-29,2026-09-29,470.00,CE,ABCAPITAL26SEP470CE,0.05,0.05,0.05,0.05,0.05,0.10,410.04,0.31,55800,-21700,15,21857325.00,7,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,53039,,ABCAPITAL,,2026-10-27,2026-10-27,390.00,CE,ABCAPITAL26OCT390CE,17.00,22.00,17.00,22.00,22.00,14.50,410.04,34.12,114700,-9300,11,13937135.00,10,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,66979,,ABCAPITAL,,2026-10-27,2026-10-27,395.00,CE,ABCAPITAL26OCT395CE,0.00,0.00,0.00,37.90,0.00,37.90,410.04,31.01,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67286,,ABCAPITAL,,2026-11-23,2026-11-23,480.00,PE,ABCAPITAL26NOV480PE,0.00,0.00,0.00,74.55,0.00,74.55,410.04,72.70,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,52978,,ABCAPITAL,,2026-09-29,2026-09-29,445.00,CE,ABCAPITAL26SEP445CE,0.15,0.15,0.15,0.15,0.15,0.15,410.04,1.86,124000,0,1,1379965.00,1,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,52949,,ABCAPITAL,,2026-09-29,2026-09-29,345.00,CE,ABCAPITAL26SEP345CE,0.00,0.00,0.00,43.55,43.55,43.55,410.04,65.71,9300,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,53031,,ABCAPITAL,,2026-10-27,2026-10-27,360.00,CE,ABCAPITAL26OCT360CE,0.00,0.00,0.00,52.15,0.00,52.15,410.04,56.32,0,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,53037,,ABCAPITAL,,2026-10-27,2026-10-27,380.00,CE,ABCAPITAL26OCT380CE,0.00,0.00,0.00,19.50,19.50,19.50,410.04,40.88,27900,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67199,,ABCAPITAL,,2026-11-23,2026-11-23,430.00,CE,ABCAPITAL26NOV430CE,0.00,0.00,0.00,5.80,5.80,5.80,410.04,21.50,12400,0,0,0.00,0,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,78359,,ABCAPITAL,,2026-09-29,2026-09-29,330.00,PE,ABCAPITAL26SEP330PE,0.10,0.15,0.05,0.05,0.05,0.35,410.04,0.01,96100,-31000,44,45023625.00,11,F1,3100,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,52980,,ABCAPITAL,,2026-09-29,2026-09-29,445.00,PE,ABCAPITAL26SEP445PE,0.00,0.00,0.00,34.85,34.85,34.85,410.04,36.03,9300,0,0,0.00,0,F1,3100,,,,,
