TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-27,2026-03-27,FO,NSE,STO,75764,,ABCAPITAL,,2026-03-30,2026-03-30,295.00,CE,ABCAPITAL26MAR295CE,15.70,15.70,8.45,12.00,12.60,19.55,305.75,12.00,226300,-279000,162,153844785.00,151,F1,3100,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,75923,,ABCAPITAL,,2026-04-28,2026-04-28,295.00,CE,ABCAPITAL26APR295CE,0.00,0.00,0.00,60.55,0.00,60.55,305.75,18.60,0,0,0,0.00,0,F1,3100,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,76005,,ABCAPITAL,,2026-04-28,2026-04-28,345.00,CE,ABCAPITAL26APR345CE,2.10,2.40,2.00,2.25,2.25,3.50,305.75,2.25,120900,99200,79,85021065.00,67,F1,3100,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,76011,,ABCAPITAL,,2026-04-28,2026-04-28,365.00,CE,ABCAPITAL26APR365CE,0.00,0.00,0.00,16.35,0.00,16.35,305.75,0.45,0,0,0,0.00,0,F1,3100,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,76109,,ABCAPITAL,,2026-04-28,2026-04-28,400.00,CE,ABCAPITAL26APR400CE,0.00,0.00,0.00,2.75,2.75,2.75,305.75,0.05,31000,0,0,0.00,0,F1,3100,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,76054,,ABCAPITAL,,2026-05-26,2026-05-26,250.00,CE,ABCAPITAL26MAY250CE,0.00,0.00,0.00,104.00,0.00,104.00,305.75,58.85,0,0,0,0.00,0,F1,3100,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,76060,,ABCAPITAL,,2026-05-26,2026-05-26,280.00,CE,ABCAPITAL26MAY280CE,0.00,0.00,0.00,76.55,0.00,76.55,305.75,33.45,0,0,0,0.00,0,F1,3100,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,76078,,ABCAPITAL,,2026-05-26,2026-05-26,370.00,CE,ABCAPITAL26MAY370CE,0.00,0.00,0.00,19.40,0.00,19.40,305.75,1.70,0,0,0,0.00,0,F1,3100,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,57599,,ABCAPITAL,,2026-03-30,2026-03-30,320.00,PE,ABCAPITAL26MAR320PE,11.20,19.00,11.20,15.85,16.10,9.20,305.75,15.85,362700,-244900,159,165643540.00,100,F1,3100,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,57601,,ABCAPITAL,,2026-03-30,2026-03-30,330.00,PE,ABCAPITAL26MAR330PE,21.65,28.30,21.65,25.30,26.05,17.50,305.75,25.30,248000,-133300,69,76288210.00,42,F1,3100,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,75789,,ABCAPITAL,,2026-03-30,2026-03-30,335.00,PE,ABCAPITAL26MAR335PE,31.70,33.50,30.20,30.65,30.65,21.15,305.75,30.65,105400,-74400,25,28466525.00,21,F1,3100,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,57611,,ABCAPITAL,,2026-03-30,2026-03-30,370.00,PE,ABCAPITAL26MAR370PE,64.20,66.00,63.60,65.20,65.20,55.30,305.75,64.10,201500,-18600,6,8079530.00,6,F1,3100,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,75826,,ABCAPITAL,,2026-03-30,2026-03-30,385.00,PE,ABCAPITAL26MAR385PE,0.00,0.00,0.00,58.75,58.75,58.75,305.75,79.10,3100,0,0,0.00,0,F1,3100,,,,,
